timestamp,lane,vehicle_count,avg_speed,heavy_ratio,congestion,fuzzy_green_time,method,decision_reason
2026-07-21T13:44:38.043679+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.207538+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.343947+08:00,LaneA,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.359612+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.534485+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.664416+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.686500+08:00,LaneD,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:38.831700+08:00,LaneA,5,0.0,0.0,Low,16,fuzzy,MEDIUM vehicle count (5) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 16s
2026-07-21T13:44:38.909728+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.046147+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.117798+08:00,LaneB,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.183814+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.258100+08:00,LaneA,5,0.0,0.0,Low,16,fuzzy,MEDIUM vehicle count (5) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 16s
2026-07-21T13:44:39.281197+08:00,LaneD,10,0.0,0.0,Low,55,fuzzy,MEDIUM vehicle count (10) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 55s
2026-07-21T13:44:39.316088+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.465070+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.596682+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.695361+08:00,LaneA,5,0.0,0.0,Low,16,fuzzy,MEDIUM vehicle count (5) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 16s
2026-07-21T13:44:39.724352+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:39.809827+08:00,LaneD,10,0.0,0.0,Low,55,fuzzy,MEDIUM vehicle count (10) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 55s
2026-07-21T13:44:39.877988+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:40.011364+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
2026-07-21T13:44:40.095751+08:00,LaneA,5,41.6,0.0,Low,16,fuzzy,MEDIUM vehicle count (5) + MEDIUM speed (42km/h) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 16s
2026-07-21T13:44:40.138076+08:00,LaneC,0,0.0,0.0,Low,15,fuzzy,LOW vehicle count (0) + SLOW speed (0km/h → congested) + LOW heavy-vehicle ratio (0%) → [FUZZY] decided green_time = 15s
